contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,spread
MSFT260504C00370000,2026-04-22 15:13:12+00:00,370.0,62.79,46.3,48.55,0.0,0.0,1,1,0.5905802661132813,True,REGULAR,USD,call,2026-05-04,47.425,2.25
MSFT260504C00390000,2026-04-23 17:38:41+00:00,390.0,30.16,29.05,31.8,-13.970001,-31.656471,23,6,0.5267381311035157,True,REGULAR,USD,call,2026-05-04,30.425,2.75
MSFT260504C00395000,2026-04-23 17:25:13+00:00,395.0,26.5,25.45,27.25,-13.130001,-33.13147,5,3,0.5038501763916017,True,REGULAR,USD,call,2026-05-04,26.35,1.8000000000000007
MSFT260504C00400000,2026-04-23 18:05:34+00:00,400.0,23.15,22.55,23.9,-12.35,-34.78873,32,17,0.509892596435547,True,REGULAR,USD,call,2026-05-04,23.225,1.3499999999999979
MSFT260504C00405000,2026-04-23 17:21:05+00:00,405.0,20.09,19.75,20.75,-11.76,-36.923077,7,10,0.5116015637207032,True,REGULAR,USD,call,2026-05-04,20.25,1.0
MSFT260504C00410000,2026-04-23 18:12:29+00:00,410.0,17.43,16.9,17.6,-11.27,-39.26829,36,5,0.5035450036621094,True,REGULAR,USD,call,2026-05-04,17.25,0.7000000000000028
MSFT260504C00415000,2026-04-23 18:11:57+00:00,415.0,14.8,14.3,15.05,-9.3,-38.58921,71,27,0.5011646563720704,False,REGULAR,USD,call,2026-05-04,14.675,0.75
MSFT260504C00420000,2026-04-23 18:18:02+00:00,420.0,12.25,12.05,12.75,-8.35,-39.78085,397,89,0.500005,False,REGULAR,USD,call,2026-05-04,12.4,0.6999999999999993
MSFT260504C00425000,2026-04-23 18:02:42+00:00,425.0,10.33,9.9,10.7,-7.42,-41.80282,148,78,0.5097705273437501,False,REGULAR,USD,call,2026-05-04,10.3,0.7999999999999989
MSFT260504C00430000,2026-04-23 18:06:57+00:00,430.0,8.55,8.3,8.7,-7.87,-47.929356,188,368,0.5008594836425782,False,REGULAR,USD,call,2026-05-04,8.5,0.3999999999999986
MSFT260504C00435000,2026-04-23 17:56:09+00:00,435.0,7.0,6.6,7.4,-6.75,-49.090908,233,66,0.508793974609375,False,REGULAR,USD,call,2026-05-04,7.0,0.8000000000000007
MSFT260504C00440000,2026-04-23 18:14:40+00:00,440.0,5.55,5.5,6.0,-5.7799997,-51.015003,575,233,0.5051929364013672,False,REGULAR,USD,call,2026-05-04,5.75,0.5
MSFT260504C00445000,2026-04-23 18:08:30+00:00,445.0,4.95,4.4,5.05,-4.3,-46.48649,54,53,0.5122119091796875,False,REGULAR,USD,call,2026-05-04,4.725,0.6499999999999995
MSFT260504C00450000,2026-04-23 18:15:34+00:00,450.0,3.75,3.55,4.0,-4.05,-51.92308,542,139,0.5075732836914062,False,REGULAR,USD,call,2026-05-04,3.775,0.4500000000000002
MSFT260504C00455000,2026-04-23 17:37:38+00:00,455.0,2.87,2.86,3.3,-3.23,-52.95082,36,65,0.5004932763671875,False,REGULAR,USD,call,2026-05-04,3.08,0.43999999999999995
MSFT260504C00460000,2026-04-23 18:16:14+00:00,460.0,2.5,2.36,2.61,-2.65,-51.45631,114,100,0.503056727294922,False,REGULAR,USD,call,2026-05-04,2.485,0.25
MSFT260504C00465000,2026-04-23 17:51:03+00:00,465.0,1.79,1.75,2.11,-2.46,-57.882355,20,90,0.501103621826172,False,REGULAR,USD,call,2026-05-04,1.93,0.3599999999999999
MSFT260504C00475000,2026-04-23 17:47:26+00:00,475.0,1.15,1.12,1.42,-1.4499999,-55.769234,25,119,0.510869149169922,False,REGULAR,USD,call,2026-05-04,1.27,0.2999999999999998
MSFT260504C00500000,2026-04-23 17:27:20+00:00,500.0,0.48,0.4,0.64,-0.29,-37.66234,108,280,0.5498091894531252,False,REGULAR,USD,call,2026-05-04,0.52,0.24
MSFT260504P00355000,2026-04-23 17:51:35+00:00,355.0,1.0,0.85,1.04,0.62,163.1579,43,36,0.5432174584960938,False,REGULAR,USD,put,2026-05-04,0.9450000000000001,0.19000000000000006
MSFT260504P00360000,2026-04-23 17:51:46+00:00,360.0,1.32,1.11,1.31,0.81000006,158.82355,34,52,0.5324753784179688,False,REGULAR,USD,put,2026-05-04,1.21,0.19999999999999996
MSFT260504P00365000,2026-04-23 17:06:07+00:00,365.0,1.24,1.46,1.82,0.55,79.710144,72,65,0.530400203857422,False,REGULAR,USD,put,2026-05-04,1.6400000000000001,0.3600000000000001
MSFT260504P00370000,2026-04-23 18:05:33+00:00,370.0,2.14,1.79,2.31,1.3100002,157.83136,290,34,0.5183153637695312,False,REGULAR,USD,put,2026-05-04,2.05,0.52
MSFT260504P00375000,2026-04-23 18:05:33+00:00,375.0,2.8,2.42,2.8,1.63,139.31624,89,17,0.509892596435547,False,REGULAR,USD,put,2026-05-04,2.61,0.3799999999999999
MSFT260504P00380000,2026-04-23 17:54:21+00:00,380.0,3.7,3.15,3.65,2.23,151.70068,113,35,0.5069629382324219,False,REGULAR,USD,put,2026-05-04,3.4,0.5
MSFT260504P00385000,2026-04-23 17:40:55+00:00,385.0,4.41,3.95,4.85,2.6599998,152.0,251,17,0.5056201782226561,False,REGULAR,USD,put,2026-05-04,4.4,0.8999999999999995
MSFT260504P00390000,2026-04-23 17:56:14+00:00,390.0,5.6,5.05,6.15,3.28,141.37932,61,35,0.5040332800292968,False,REGULAR,USD,put,2026-05-04,5.6,1.1000000000000005
MSFT260504P00395000,2026-04-23 18:06:57+00:00,395.0,6.4,6.3,7.6,3.43,115.48821,100,19,0.5249070947265625,False,REGULAR,USD,put,2026-05-04,6.949999999999999,1.2999999999999998
MSFT260504P00400000,2026-04-23 18:06:34+00:00,400.0,8.29,7.75,8.25,4.5699997,122.84945,90,132,0.48480739807128903,False,REGULAR,USD,put,2026-05-04,8.0,0.5
MSFT260504P00405000,2026-04-23 17:58:33+00:00,405.0,10.33,9.35,10.3,5.68,122.150536,39,49,0.4886525744628907,False,REGULAR,USD,put,2026-05-04,9.825,0.9500000000000011
MSFT260504P00410000,2026-04-23 18:17:17+00:00,410.0,13.2,11.55,12.15,7.1,116.39345,22,57,0.4762015270996094,False,REGULAR,USD,put,2026-05-04,11.850000000000001,0.5999999999999996
MSFT260504P00415000,2026-04-23 18:12:25+00:00,415.0,14.6,13.85,14.65,7.2500005,98.639465,32,32,0.4766898034667969,True,REGULAR,USD,put,2026-05-04,14.25,0.8000000000000007
MSFT260504P00420000,2026-04-23 17:27:45+00:00,420.0,16.51,16.45,18.2,7.71,87.61363,35,42,0.5031177618408205,True,REGULAR,USD,put,2026-05-04,17.325,1.75
MSFT260504P00425000,2026-04-23 16:01:25+00:00,425.0,17.05,19.3,20.65,6.0999994,55.70776,11,25,0.4837087762451172,True,REGULAR,USD,put,2026-05-04,19.975,1.3499999999999979
MSFT260504P00440000,2026-04-22 19:56:04+00:00,440.0,30.8,29.35,31.45,12.75,70.63712,5,6,0.4947560290527344,True,REGULAR,USD,put,2026-05-04,30.4,2.099999999999998
