contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,spread
NVDA260304C00115000,2026-02-23 14:52:38+00:00,115.0,78.28,75.6,75.75,3.5999985,4.8205657,2.0,2,1.3906280468749999,True,REGULAR,USD,call,2026-03-04,75.675,0.15000000000000568
NVDA260304C00120000,2026-02-17 16:23:23+00:00,120.0,64.55,70.6,70.8,0.0,0.0,,0,1.3105503222656247,True,REGULAR,USD,call,2026-03-04,70.69999999999999,0.20000000000000284
NVDA260304C00125000,2026-02-17 17:32:10+00:00,125.0,59.53,65.7,65.85,0.0,0.0,,2,1.2695349023437497,True,REGULAR,USD,call,2026-03-04,65.775,0.14999999999999147
NVDA260304C00130000,2026-02-19 14:33:07+00:00,130.0,56.95,60.65,60.85,0.0,0.0,,3,1.1474652001953123,True,REGULAR,USD,call,2026-03-04,60.75,0.20000000000000284
NVDA260304C00135000,2026-02-20 17:16:59+00:00,135.0,54.56,55.75,55.9,0.0,0.0,1.0,7,1.0947310888671877,True,REGULAR,USD,call,2026-03-04,55.825,0.14999999999999858
NVDA260304C00140000,2026-02-23 14:31:16+00:00,140.0,53.75,50.75,50.9,5.0999985,10.483039,1.0,9,0.9951172363281251,True,REGULAR,USD,call,2026-03-04,50.825,0.14999999999999858
NVDA260304C00145000,2026-02-23 16:30:37+00:00,145.0,46.0,45.85,46.05,3.0499992,7.101279,3.0,3,0.9531254687499999,True,REGULAR,USD,call,2026-03-04,45.95,0.19999999999999574
NVDA260304C00150000,2026-02-20 20:50:00+00:00,150.0,40.45,40.9,41.05,0.0,0.0,6.0,6,0.8627943408203125,True,REGULAR,USD,call,2026-03-04,40.974999999999994,0.14999999999999858
NVDA260304C00155000,2026-02-23 17:45:08+00:00,155.0,35.7,36.0,36.2,2.0200005,5.997626,24.0,4,0.8032246240234374,True,REGULAR,USD,call,2026-03-04,36.1,0.20000000000000284
NVDA260304C00160000,2026-02-23 18:16:54+00:00,160.0,32.1,31.25,31.4,1.4499989,4.7308283,20.0,26,0.7583031982421876,True,REGULAR,USD,call,2026-03-04,31.325,0.14999999999999858
NVDA260304C00165000,2026-02-23 16:22:08+00:00,165.0,26.25,26.55,26.7,1.25,5.0,17.0,17,0.710940390625,True,REGULAR,USD,call,2026-03-04,26.625,0.14999999999999858
NVDA260304C00170000,2026-02-23 17:56:56+00:00,170.0,22.5,22.1,22.25,1.9799995,9.64912,64.0,17,0.6831086376953126,True,REGULAR,USD,call,2026-03-04,22.175,0.14999999999999858
NVDA260304C00175000,2026-02-23 19:26:06+00:00,175.0,18.08,17.75,17.9,1.5300007,9.244717,69.0,47,0.6401403173828125,True,REGULAR,USD,call,2026-03-04,17.825,0.14999999999999858
NVDA260304C00180000,2026-02-23 19:07:51+00:00,180.0,14.39,13.85,13.95,1.1199999,8.440089,72.0,128,0.6140175317382813,True,REGULAR,USD,call,2026-03-04,13.899999999999999,0.09999999999999964
NVDA260304C00185000,2026-02-23 19:07:51+00:00,185.0,10.8,10.45,10.55,1.1000004,11.34021,621.0,886,0.5991251025390626,True,REGULAR,USD,call,2026-03-04,10.5,0.10000000000000142
NVDA260304C00190000,2026-02-23 19:18:55+00:00,190.0,7.55,7.45,7.5,0.6000004,8.6331,1339.0,1299,0.5748333532714844,True,REGULAR,USD,call,2026-03-04,7.475,0.04999999999999982
NVDA260304C00195000,2026-02-23 19:33:53+00:00,195.0,5.0,5.0,5.1,0.5500002,12.087917,1997.0,462,0.555790574951172,False,REGULAR,USD,call,2026-03-04,5.05,0.09999999999999964
NVDA260304C00200000,2026-02-23 19:28:41+00:00,200.0,3.2,3.15,3.2,0.45000005,16.363638,1093.0,955,0.5361374511718751,False,REGULAR,USD,call,2026-03-04,3.175,0.050000000000000266
NVDA260304C00205000,2026-02-23 19:30:08+00:00,205.0,1.87,1.85,1.9,0.29999995,19.108276,538.0,873,0.5212450219726561,False,REGULAR,USD,call,2026-03-04,1.875,0.04999999999999982
NVDA260304C00210000,2026-02-23 19:18:58+00:00,210.0,1.09,1.05,1.1,0.22000003,25.287361,1444.0,766,0.5151415673828125,False,REGULAR,USD,call,2026-03-04,1.0750000000000002,0.050000000000000044
NVDA260304C00215000,2026-02-23 19:20:12+00:00,215.0,0.63,0.59,0.62,0.16,34.042553,573.0,115,0.514653291015625,False,REGULAR,USD,call,2026-03-04,0.605,0.030000000000000027
NVDA260304C00220000,2026-02-23 19:23:59+00:00,220.0,0.34,0.33,0.36,0.06999999,25.92592,348.0,275,0.5200243310546875,False,REGULAR,USD,call,2026-03-04,0.345,0.02999999999999997
NVDA260304C00225000,2026-02-23 19:34:30+00:00,225.0,0.22,0.22,0.23,0.049999997,27.777775,120.0,75,0.5400436621093752,False,REGULAR,USD,call,2026-03-04,0.225,0.010000000000000009
NVDA260304C00230000,2026-02-23 19:19:13+00:00,230.0,0.15,0.13,0.16,0.030000009,25.000008,88.0,99,0.5566450585937501,False,REGULAR,USD,call,2026-03-04,0.14500000000000002,0.03
NVDA260304C00235000,2026-02-23 18:00:11+00:00,235.0,0.11,0.08,0.11,0.0,0.0,81.0,10,0.5742230078125,False,REGULAR,USD,call,2026-03-04,0.095,0.03
NVDA260304C00240000,2026-02-23 18:31:06+00:00,240.0,0.07,0.06,0.08,0.010000002,16.66667,153.0,108,0.5976602734375001,False,REGULAR,USD,call,2026-03-04,0.07,0.020000000000000004
NVDA260304C00245000,2026-02-18 17:13:52+00:00,245.0,0.07,0.03,0.06,0.0,0.0,1.0,4,0.6093789062500001,False,REGULAR,USD,call,2026-03-04,0.045,0.03
NVDA260304C00250000,2026-02-19 16:24:22+00:00,250.0,0.06,0.02,0.05,0.0,0.0,,17,0.6367223828125,False,REGULAR,USD,call,2026-03-04,0.035,0.030000000000000002
NVDA260304C00255000,2026-02-23 17:37:12+00:00,255.0,0.03,0.01,0.04,0.02,200.0,6.0,121,0.6523472265625001,False,REGULAR,USD,call,2026-03-04,0.025,0.03
NVDA260304C00260000,2026-02-23 15:06:02+00:00,260.0,0.04,0.01,0.04,0.0,0.0,31.0,25,0.6875031250000001,False,REGULAR,USD,call,2026-03-04,0.025,0.03
NVDA260304P00115000,2026-02-20 14:30:04+00:00,115.0,0.07,0.04,0.07,0.0,0.0,3.0,33,1.2109414453124998,False,REGULAR,USD,put,2026-03-04,0.05500000000000001,0.030000000000000006
NVDA260304P00120000,2026-02-23 17:43:45+00:00,120.0,0.07,0.05,0.08,-0.07,-50.0,16.0,1,1.1367230664062502,False,REGULAR,USD,put,2026-03-04,0.065,0.03
NVDA260304P00125000,2026-02-23 15:47:27+00:00,125.0,0.07,0.07,0.1,0.010000002,16.66667,10.0,31,1.0800827246093752,False,REGULAR,USD,put,2026-03-04,0.085,0.03
NVDA260304P00130000,2026-02-23 17:09:28+00:00,130.0,0.09,0.09,0.12,0.0,0.0,149.0,15,1.015629921875,False,REGULAR,USD,put,2026-03-04,0.105,0.03
NVDA260304P00135000,2026-02-23 17:20:29+00:00,135.0,0.13,0.12,0.15,-0.02000001,-13.333339,2.0,26,0.9589847851562499,False,REGULAR,USD,put,2026-03-04,0.135,0.03
NVDA260304P00140000,2026-02-23 19:12:22+00:00,140.0,0.16,0.16,0.2,-0.049999997,-23.809523,14.0,122,0.9062509375,False,REGULAR,USD,put,2026-03-04,0.18,0.04000000000000001
NVDA260304P00145000,2026-02-23 18:31:06+00:00,145.0,0.23,0.22,0.25,-0.049999997,-17.857141,29.0,115,0.851563984375,False,REGULAR,USD,put,2026-03-04,0.235,0.03
NVDA260304P00150000,2026-02-23 16:58:04+00:00,150.0,0.3,0.3,0.33,-0.07999998,-21.052628,369.0,55,0.799806689453125,False,REGULAR,USD,put,2026-03-04,0.315,0.030000000000000027
NVDA260304P00155000,2026-02-23 17:38:06+00:00,155.0,0.44,0.42,0.45,-0.050000012,-10.204083,31.0,58,0.7524438818359375,False,REGULAR,USD,put,2026-03-04,0.435,0.030000000000000027
NVDA260304P00160000,2026-02-23 19:34:32+00:00,160.0,0.62,0.61,0.62,-0.029999971,-4.6153803,213.0,146,0.7084990087890625,False,REGULAR,USD,put,2026-03-04,0.615,0.010000000000000009
NVDA260304P00165000,2026-02-23 19:33:11+00:00,165.0,0.91,0.9,0.94,-0.16000003,-14.953272,239.0,250,0.6735872485351564,False,REGULAR,USD,put,2026-03-04,0.9199999999999999,0.039999999999999925
NVDA260304P00170000,2026-02-23 19:23:52+00:00,170.0,1.34,1.36,1.4,-0.110000014,-7.586208,406.0,351,0.6411168701171875,False,REGULAR,USD,put,2026-03-04,1.38,0.039999999999999813
NVDA260304P00175000,2026-02-23 19:26:06+00:00,175.0,2.06,2.11,2.16,-0.22000003,-9.649124,439.0,359,0.6189002954101563,False,REGULAR,USD,put,2026-03-04,2.135,0.050000000000000266
NVDA260304P00180000,2026-02-23 19:26:39+00:00,180.0,3.1,3.15,3.25,-0.20000005,-6.0606074,336.0,255,0.5954630297851562,False,REGULAR,USD,put,2026-03-04,3.2,0.10000000000000009
NVDA260304P00185000,2026-02-23 19:23:27+00:00,185.0,4.54,4.65,4.75,-0.3499999,-7.157463,404.0,257,0.5742230078125,False,REGULAR,USD,put,2026-03-04,4.7,0.09999999999999964
NVDA260304P00190000,2026-02-23 19:30:28+00:00,190.0,6.62,6.65,6.75,-0.3499999,-5.0215197,972.0,275,0.5533491931152343,False,REGULAR,USD,put,2026-03-04,6.7,0.09999999999999964
NVDA260304P00195000,2026-02-23 19:27:26+00:00,195.0,9.0,9.2,9.3,-0.47999954,-5.063287,170.0,89,0.5317429638671876,True,REGULAR,USD,put,2026-03-04,9.25,0.10000000000000142
NVDA260304P00200000,2026-02-23 16:28:56+00:00,200.0,12.44,12.45,12.55,-0.6600008,-5.0381737,61.0,146,0.5207567456054687,True,REGULAR,USD,put,2026-03-04,12.5,0.10000000000000142
NVDA260304P00205000,2026-02-23 17:30:52+00:00,205.0,15.88,16.15,16.25,-2.0700006,-11.532037,21.0,57,0.5024463818359376,True,REGULAR,USD,put,2026-03-04,16.2,0.10000000000000142
NVDA260304P00210000,2026-02-23 18:23:50+00:00,210.0,19.35,20.3,20.45,-2.1999989,-10.208812,7.0,13,0.4975636181640626,True,REGULAR,USD,put,2026-03-04,20.375,0.14999999999999858
NVDA260304P00215000,2026-02-23 17:38:41+00:00,215.0,25.5,24.85,25.05,-1.5499992,-5.730127,4.0,3,0.5043994873046875,True,REGULAR,USD,put,2026-03-04,24.950000000000003,0.1999999999999993
NVDA260304P00225000,2026-02-18 16:26:02+00:00,225.0,35.25,34.55,34.75,0.0,0.0,,20,0.507817421875,True,REGULAR,USD,put,2026-03-04,34.65,0.20000000000000284
NVDA260304P00260000,2026-02-20 17:55:08+00:00,260.0,71.7,69.4,69.55,0.0,0.0,1.0,0,0.75195560546875,True,REGULAR,USD,put,2026-03-04,69.475,0.14999999999999147
